CustomerID,Gender,Birthdate,City,State,ZIP,Customer_since,Country,Phone,Churn_date
180599,F,1957-07-29,Bangor,WI,54614,2014-04-11,US,608-710-xxxx,
181702,M,1980-02-14,Bronson,IA,51007,2014-08-06,US,712-754-xxxx,
175649,M,1992-05-24,Drexel,NC,28619,2014-02-24,US,828-680-xxxx,
175890,F,1983-12-30,Deerfield Bch,FL,33442,2004-03-10,US,954-535-xxxx,
178014,M,1951-08-11,Bloomington,IN,47404,2002-02-15,US,812-340-xxxx,2018-01-12
183458,F,1964-09-07,Gordon,NE,69343,2002-02-23,US,308-571-xxxx,
175958,M,1974-01-06,Escondido,CA,92046,2013-07-17,US,760-361-xxxx,
184936,F,1964-11-27,Eleva,WI,54738,2013-04-23,US,715-432-xxxx,
183230,M,1977-06-27,Allentown,PA,18106,2011-12-30,US,610-288-xxxx,
175771,M,1963-01-11,Allerton,IA,50008,2002-04-18,US,641-406-xxxx,
184793,F,1951-01-19,Becker,MN,55308,2005-09-27,US,763-739-xxxx,
183684,M,1959-12-29,Clinton Township,MI,48035,2005-05-08,US,586-423-xxxx,
179428,F,1992-06-13,Kingston,NH,3848,2014-06-30,US,603-594-xxxx,2017-11-15
175651,F,1979-09-26,Houston,TX,77010,2001-04-04,US,346-418-xxxx,
183197,F,1974-07-30,Northpoint,PA,15763,2012-03-18,US,,
183175,F,1954-06-09,Riley,IN,47871,2006-08-07,US,,
178003,M,1993-11-01,Phoenix,AZ,85035,2014-03-10,US,623-662-xxxx,
180289,M,1970-05-04,Plainfield,VT,5667,2013-05-04,US,802-314-xxxx,2019-06-27
176266,F,1980-12-29,Spanish Fort,AL,36577,2013-07-01,US,251-508-xxxx,2019-04-28
183366,F,1982-05-11,Valpo,IN,46384,2003-07-28,US,219-672-xxxx,2018-05-07
182075,M,1967-09-26,Loon Lake,WA,99148,2004-01-13,US,509-239-xxxx,
177852,F,1984-01-19,Ameagle,WV,25060,2004-07-22,US,304-229-xxxx,
185032,F,1952-11-09,Mountain City,NV,89831,2003-06-15,US,775-159-xxxx,2019-02-24
177988,F,1967-08-24,Whiteface Mountain,NY,12997,2014-09-19,US,518-505-xxxx,
184072,F,1961-04-04,Amarillo,TX,79120,2002-03-05,US,806-237-xxxx,
177482,F,1990-10-16,Erin Springs,OK,73052,2013-11-27,US,405-228-xxxx,2017-04-06
176478,M,1982-09-20,Peterman,AL,36471,2012-01-25,US,251-386-xxxx,
182910,F,1986-02-12,Colonial Heights,TN,37663,2008-04-04,US,423-140-xxxx,2019-08-28
182719,M,1966-10-09,Galveston,TX,77553,2008-04-09,US,409-520-xxxx,
180983,F,1962-02-26,Early,IA,50535,2003-03-05,US,712-148-xxxx,
185559,M,1963-06-08,Shreveport,LA,71166,2001-05-26,US,318-143-xxxx,
179560,F,1955-03-06,Sodus Point,NY,14555,2016-12-23,US,315-693-xxxx,
181676,F,1978-02-26,Milford,CT,6460,2004-01-12,US,203-443-xxxx,2019-03-04
180127,F,1980-02-07,Mitchellville,TN,37119,2007-02-18,US,615-592-xxxx,
183285,M,1954-04-15,Dover,NC,28526,2007-06-19,US,252-416-xxxx,
181266,F,1994-11-05,Bethany,OK,73008,2016-09-08,US,405-764-xxxx,
183572,M,1996-10-19,Newaygo,MI,49337,2016-09-12,US,231-173-xxxx,
178709,F,1965-10-20,Arlington Heights,IL,60005,2001-04-06,US,630-416-xxxx,
178753,M,1975-01-02,Morovis,PR,687,2002-12-01,US,787-795-xxxx,
179622,F,1965-10-14,Memphis,IN,47143,2004-02-29,US,812-505-xxxx,
177940,F,1959-05-31,Boston,MA,2133,2014-09-23,US,781-205-xxxx,2018-11-25
181081,M,1989-03-06,Miamitown,OH,45041,2009-10-08,US,513-540-xxxx,
175796,F,1974-05-04,Fresno,CA,93709,2001-08-05,US,559-535-xxxx,
178721,F,1980-06-28,Miami,WV,25134,2006-10-18,US,304-693-xxxx,
177934,M,1991-06-06,Ogema,MN,56569,2011-10-15,US,218-390-xxxx,
185198,M,1961-07-20,Denver,CO,80266,2013-02-22,US,303-781-xxxx,2017-04-08
179743,F,1960-05-27,Rew,PA,16744,2010-07-15,US,814-635-xxxx,
182718,M,1976-03-10,Los Angeles,CA,90087,2000-06-15,US,213-596-xxxx,
185297,M,1979-12-26,Houston,TX,77004,2003-01-27,US,713-407-xxxx,
180630,M,1950-10-29,Flint,MI,48551,2002-06-06,US,810-391-xxxx,2017-11-01
181173,M,1966-09-05,Marana,AZ,85658,2009-06-04,US,520-664-xxxx,
178046,F,1963-03-01,Dade City,FL,33525,2008-01-23,US,352-172-xxxx,
182207,F,1979-12-01,Shannon City,IA,50861,2006-04-23,US,641-263-xxxx,
184736,M,1963-03-13,College Park,GA,30349,2011-07-08,US,404-638-xxxx,
181757,F,1959-06-19,...,PR,909,2013-02-20,US,939-638-xxxx,
176301,F,1996-05-09,Robards,KY,42452,2016-04-12,US,270-130-xxxx,
177356,F,1970-08-19,Tuskahoma,OK,74574,2001-08-20,US,918-389-xxxx,
180879,M,1965-12-02,Red Bluff,CA,96080,2016-06-27,US,530-729-xxxx,
179255,F,1957-12-19,Mount Ulla,NC,28125,2011-12-08,US,,
180937,F,1960-09-04,Rye Brook,NY,10573,2003-12-30,US,914-327-xxxx,
176788,F,1994-08-10,Lampasas,TX,76550,2014-08-24,US,512-591-xxxx,
180045,F,1952-04-05,Daingerfield,TX,75638,2014-08-26,US,903-160-xxxx,
179047,F,1963-05-01,Willow Park,TX,76087,2013-06-18,US,817-130-xxxx,
181469,M,1973-08-30,Charlestown,MD,21914,2003-04-18,US,410-735-xxxx,
178655,F,1966-03-15,Hinkle,KY,40953,2001-05-31,US,606-743-xxxx,2018-10-09
179187,F,1953-02-07,Pensacola,FL,32507,2015-09-02,US,850-493-xxxx,
184553,F,1968-08-31,Sugar Land,TX,77479,2013-01-27,US,832-477-xxxx,
184057,F,1990-12-17,Foyil,OK,74031,2013-07-17,US,918-709-xxxx,
181907,F,1986-10-02,Birds Lndg,CA,94585,2009-06-26,US,707-532-xxxx,
181807,M,1994-09-22,Sheldon,WI,54766,2014-11-23,US,715-367-xxxx,
183124,M,1969-01-01,Fresno,CA,93794,2009-01-06,US,559-275-xxxx,
